Ano;Total_Vinculos;Intermitente;Teletrabalho;Parcial;Perc_Intermitente;Perc_Teletrabalho
2016;175733;0;0;0;0.0;0.0
2017;177358;3;0;232;0.0016914940403026648;0.0
